ti_id;titel;jaar;druk;ppn_o;bibliotheek;categorie;_jaar;pers_id;voornaam;voorvoegsel;achternaam;jaar_geboren;jaar_overlijden;geb_datum;overl_datum;geb_plaats;overl_plaats;geb_plaats_code;geb_land_code;overl_plaats_code;overl_land_code;vrouw;url;text_url;maand;genre
aa__001nieu02;Nieuw biographisch, anthologisch en critisch woordenboek van Nederlandsche dichters. Deel 2;1845;1ste druk;394978803;leide001univ01;1;1845;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001nieu02_01;aa__001nieu02_01;2003_09   ;sec - letterkunde
aa__001nieu00;Nieuw biographisch, anthologisch en critisch woordenboek van Nederlandsche dichters (3 delen);1844-1846;1ste druk;394978803;;1;1844;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001nieu00_01;https://dbnl.org/nieuws/text.php?id=aa__001nieu00;;sec - letterkunde
aa__001nieu01;Nieuw biographisch, anthologisch en critisch woordenboek van Nederlandsche dichters. Deel 1;1844;1ste druk;394978803;leide001univ01;1;1844;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001nieu01_01;aa__001nieu01_01;2003_09   ;sec - letterkunde
aa__001biog24;Biographisch woordenboek der Nederlanden. Deel 20;1877;1ste druk;;leide001dbnl01;1;1877;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog24_01;aa__001biog24_01;2009_11   ;non-fictie
aa__001biog25;Biographisch woordenboek der Nederlanden. Bijvoegsel;1878;1ste druk;;Biografie Instituut van de Rijksuniversiteit Groningen;1;1878;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog25_01;aa__001biog25_01;2009_11   ;non-fictie
aa__001biog13;Biographisch woordenboek der Nederlanden. Deel 11;1865;1ste druk;;leide001dbnl01;1;1865;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog13_01;aa__001biog13_01;2009_11   ;non-fictie
aa__001biog14;Biographisch woordenboek der Nederlanden. Deel 12. Eerste stuk;1869;1ste druk;;leide001dbnl01;1;1869;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog14_01;aa__001biog14_01;2009_11   ;non-fictie
aa__001biog15;Biographisch woordenboek der Nederlanden. Deel 12. Tweede stuk;1869;1ste druk;;leide001dbnl01;1;1869;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog15_01;aa__001biog15_01;2009_11   ;non-fictie
aa__001biog22;Biographisch woordenboek der Nederlanden. Deel 18;1874;1ste druk;;leide001dbnl01;1;1874;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog22_01;aa__001biog22_01;2009_11   ;non-fictie
aa__001biog23;Biographisch woordenboek der Nederlanden. Deel 19;1876;1ste druk;;leide001dbnl01;1;1876;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog23_01;aa__001biog23_01;2009_11   ;non-fictie
